Mouse_ID,Ct_1,Ct_2,Ct_mean,Oocyts_1,Oocyst_2,Oocyst_mean,Oocyst_calculated,Final_Oocyst_calculated
AA_0622,0,0,0,0,0,0,0,0
AA_0623,0,0,0,0,0,0,0,0
AA_0624,38.11,0,0,657,0,0,0,0
AA_0624,32.94,0,0,6374,0,0,0,0
AA_0624,0,0,0,0,0,0,0,0
AA_0625,0,0,0,0,0,0,0,0
AA_0626,0,0,0,0,0,0,0,0
AA_0627,0,0,0,0,0,0,0,0
AA_0628,0,0,0,0,0,0,0,0
AA_0629,0,0,0,0,0,0,0,0
AA_0630,0,0,0,0,0,0,0,0
AA_0632,0,0,0,0,0,0,0,0
AA_0633,0,0,0,0,0,0,0,0
AA_0634,39.04,0,0,414,0,0,0,0
AA_0634,0,0,0,0,0,0,0,0
AA_0635,0,0,0,0,0,0,0,0
AA_0635,7.61,0,0,3.50E+09,0,0,0,0
AA_0636,0,0,0,0,0,0,0,0
AA_0637,0,0,0,0,0,0,0,0
AA_0638,37.25,0,0,1002,0,0,0,0
AA_0638,0,0,0,0,0,0,0,0
AA_0639,0,0,0,0,0,0,0,0
AA_0640,0,0,0,0,0,0,0,0
AA_0641,0,0,0,0,0,0,0,0
AA_0642,4.23,0,0,2.05E+10,0,0,0,0
AA_0643,0,0,0,0,0,0,0,0
AA_0644,35.67,0,0,1875,0,0,0,0
AA_0644,35.61,0,0,1581,0,0,0,0
AA_0644,38.31,0,0,762,0,0,0,0
AA_0645,0,0,0,0,0,0,0,0
AA_0645,0,0,0,0,0,0,0,0
AA_0647,0,0,0,0,0,0,0,0
